CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 8.023438 1713692149.7575
MEM 51.863281 1713692149.8577
MEM 74.496094 1713692149.9579
MEM 94.593750 1713692150.0581
MEM 105.031250 1713692150.1583
MEM 128.253906 1713692150.2585
MEM 145.074219 1713692150.3587
MEM 145.589844 1713692150.4589
MEM 146.453125 1713692150.5591
MEM 149.031250 1713692150.6593
MEM 150.578125 1713692150.7595
MEM 150.835938 1713692150.8597
MEM 152.640625 1713692150.9599
MEM 152.785156 1713692151.0601
MEM 152.785156 1713692151.1604
MEM 152.785156 1713692151.2606
MEM 151.292969 1713692151.3608
MEM 153.351562 1713692151.4611
MEM 154.640625 1713692151.5613
MEM 155.671875 1713692151.6615
MEM 157.218750 1713692151.7617
MEM 159.796875 1713692151.8619
MEM 160.570312 1713692151.9621
MEM 161.859375 1713692152.0623
MEM 162.890625 1713692152.1626
MEM 163.406250 1713692152.2628
MEM 164.695312 1713692152.3630
MEM 165.468750 1713692152.4632
MEM 166.242188 1713692152.5634
MEM 167.015625 1713692152.6636
MEM 169.417969 1713692152.7638
MEM 170.707031 1713692152.8640
MEM 172.253906 1713692152.9643
MEM 172.769531 1713692153.0645
MEM 173.800781 1713692153.1647
MEM 174.574219 1713692153.2649
MEM 175.863281 1713692153.3652
MEM 177.152344 1713692153.4654
MEM 177.410156 1713692153.5657
MEM 178.699219 1713692153.6660
MEM 179.472656 1713692153.7662
MEM 180.246094 1713692153.8664
MEM 181.019531 1713692153.9666
MEM 182.050781 1713692154.0668
MEM 183.597656 1713692154.1671
MEM 184.371094 1713692154.2673
MEM 185.660156 1713692154.3675
MEM 189.039062 1713692154.4677
MEM 189.812500 1713692154.5679
MEM 190.843750 1713692154.6682
MEM 192.390625 1713692154.7684
MEM 193.164062 1713692154.8686
MEM 193.937500 1713692154.9688
MEM 194.968750 1713692155.0691
MEM 196.000000 1713692155.1693
MEM 197.289062 1713692155.2695
MEM 198.835938 1713692155.3697
MEM 199.609375 1713692155.4699
MEM 200.640625 1713692155.5701
MEM 201.929688 1713692155.6704
MEM 202.445312 1713692155.7739
MEM 203.734375 1713692155.8742
MEM 204.507812 1713692155.9744
MEM 205.539062 1713692156.0746
MEM 206.828125 1713692156.1748
MEM 207.085938 1713692156.2750
MEM 208.375000 1713692156.3752
MEM 209.664062 1713692156.4755
MEM 210.695312 1713692156.5757
MEM 211.984375 1713692156.6759
MEM 213.273438 1713692156.7761
MEM 213.789062 1713692156.8765
MEM 214.820312 1713692156.9768
MEM 215.335938 1713692157.0771
MEM 216.625000 1713692157.1773
MEM 218.171875 1713692157.2775
MEM 218.945312 1713692157.3777
MEM 219.976562 1713692157.4779
MEM 221.265625 1713692157.5782
MEM 227.261719 1713692157.6784
MEM 228.292969 1713692157.7786
MEM 229.582031 1713692157.8788
MEM 230.613281 1713692157.9791
MEM 231.128906 1713692158.0793
MEM 231.902344 1713692158.1795
MEM 232.933594 1713692158.2797
MEM 233.707031 1713692158.3799
MEM 234.738281 1713692158.4801
MEM 235.253906 1713692158.5804
MEM 236.542969 1713692158.6806
MEM 237.832031 1713692158.7808
MEM 239.121094 1713692158.8810
MEM 239.636719 1713692158.9812
MEM 241.183594 1713692159.0815
MEM 242.472656 1713692159.1817
MEM 243.761719 1713692159.2819
MEM 244.535156 1713692159.3821
MEM 246.082031 1713692159.4823
MEM 247.371094 1713692159.5825
MEM 248.660156 1713692159.6827
MEM 249.433594 1713692159.7829
MEM 250.722656 1713692159.8831
MEM 252.269531 1713692159.9833
MEM 253.300781 1713692160.0835
MEM 253.816406 1713692160.1838
MEM 255.363281 1713692160.2840
MEM 255.621094 1713692160.3842
MEM 256.910156 1713692160.4844
MEM 257.683594 1713692160.5846
MEM 258.972656 1713692160.6848
MEM 260.519531 1713692160.7850
MEM 262.066406 1713692160.8852
MEM 262.582031 1713692160.9854
MEM 263.613281 1713692161.0856
MEM 264.644531 1713692161.1858
MEM 266.191406 1713692161.2860
MEM 267.480469 1713692161.3862
MEM 268.253906 1713692161.4864
MEM 269.285156 1713692161.5866
MEM 270.574219 1713692161.6868
MEM 270.574219 1713692161.7870
MEM 271.605469 1713692161.8872
MEM 272.636719 1713692161.9874
MEM 273.925781 1713692162.0875
MEM 274.957031 1713692162.1877
MEM 275.988281 1713692162.2880
MEM 277.277344 1713692162.3882
MEM 278.566406 1713692162.4884
MEM 279.339844 1713692162.5886
MEM 280.371094 1713692162.6888
MEM 281.917969 1713692162.7890
MEM 282.949219 1713692162.8892
MEM 283.722656 1713692162.9894
MEM 285.269531 1713692163.0896
MEM 286.558594 1713692163.1898
MEM 287.332031 1713692163.2900
MEM 288.621094 1713692163.3902
MEM 289.910156 1713692163.4904
MEM 291.199219 1713692163.5906
