CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 8.140625 1713688773.5217
MEM 51.312500 1713688773.6219
MEM 72.742188 1713688773.7222
MEM 83.894531 1713688773.8224
MEM 99.816406 1713688773.9226
MEM 113.695312 1713688774.0228
MEM 133.742188 1713688774.1230
MEM 145.957031 1713688774.2232
MEM 150.250000 1713688774.3234
MEM 151.539062 1713688774.4236
MEM 152.312500 1713688774.5239
MEM 153.917969 1713688774.6241
MEM 153.917969 1713688774.7243
MEM 154.175781 1713688774.8245
MEM 154.535156 1713688774.9247
MEM 155.050781 1713688775.0250
MEM 157.113281 1713688775.1252
MEM 158.402344 1713688775.2254
MEM 159.175781 1713688775.3256
MEM 161.753906 1713688775.4258
MEM 163.300781 1713688775.5260
MEM 163.816406 1713688775.6262
MEM 165.363281 1713688775.7264
MEM 166.652344 1713688775.8266
MEM 167.425781 1713688775.9268
MEM 168.714844 1713688776.0271
MEM 171.347656 1713688776.1273
MEM 172.117188 1713688776.2275
MEM 173.406250 1713688776.3277
MEM 174.437500 1713688776.4280
MEM 175.468750 1713688776.5282
MEM 176.757812 1713688776.6284
MEM 178.046875 1713688776.7286
MEM 178.820312 1713688776.8288
MEM 180.367188 1713688776.9290
MEM 181.398438 1713688777.0293
MEM 182.429688 1713688777.1295
MEM 183.718750 1713688777.2297
MEM 184.750000 1713688777.3300
MEM 185.781250 1713688777.4302
MEM 187.328125 1713688777.5304
MEM 188.101562 1713688777.6306
MEM 189.390625 1713688777.7309
MEM 193.078125 1713688777.8311
MEM 194.625000 1713688777.9312
MEM 195.398438 1713688778.0315
MEM 196.687500 1713688778.1317
MEM 197.976562 1713688778.2319
MEM 198.492188 1713688778.3321
MEM 199.781250 1713688778.4323
MEM 200.554688 1713688778.5325
MEM 201.843750 1713688778.6334
MEM 203.390625 1713688778.7336
MEM 203.906250 1713688778.8338
MEM 205.453125 1713688778.9340
MEM 206.742188 1713688779.0342
MEM 207.515625 1713688779.1345
MEM 208.804688 1713688779.2347
MEM 210.351562 1713688779.3349
MEM 210.867188 1713688779.4352
MEM 212.414062 1713688779.5354
MEM 213.703125 1713688779.6356
MEM 214.476562 1713688779.7358
MEM 215.765625 1713688779.8360
MEM 217.312500 1713688779.9362
MEM 217.828125 1713688780.0364
MEM 219.375000 1713688780.1367
MEM 220.664062 1713688780.2369
MEM 221.437500 1713688780.3371
MEM 222.726562 1713688780.4373
MEM 224.273438 1713688780.5375
MEM 224.789062 1713688780.6377
MEM 226.335938 1713688780.7380
MEM 227.625000 1713688780.8382
MEM 236.132812 1713688780.9384
MEM 234.757812 1713688781.0386
MEM 236.046875 1713688781.1388
MEM 236.820312 1713688781.2390
MEM 238.109375 1713688781.3392
MEM 239.656250 1713688781.4394
MEM 240.429688 1713688781.5396
MEM 241.718750 1713688781.6399
MEM 241.976562 1713688781.7401
MEM 243.265625 1713688781.8403
MEM 244.554688 1713688781.9405
MEM 245.328125 1713688782.0407
MEM 246.875000 1713688782.1410
MEM 247.906250 1713688782.2412
MEM 248.937500 1713688782.3414
MEM 250.226562 1713688782.4416
MEM 251.257812 1713688782.5418
MEM 252.289062 1713688782.6420
MEM 253.835938 1713688782.7423
MEM 254.867188 1713688782.8425
MEM 255.898438 1713688782.9427
MEM 257.445312 1713688783.0429
MEM 258.476562 1713688783.1431
MEM 259.250000 1713688783.2433
MEM 260.796875 1713688783.3435
MEM 261.828125 1713688783.4437
MEM 262.859375 1713688783.5439
MEM 264.148438 1713688783.6442
MEM 265.437500 1713688783.7444
MEM 266.210938 1713688783.8446
MEM 267.757812 1713688783.9448
MEM 269.046875 1713688784.0450
MEM 269.820312 1713688784.1452
MEM 272.140625 1713688784.2454
MEM 272.656250 1713688784.3456
MEM 273.945312 1713688784.4458
MEM 275.492188 1713688784.5460
MEM 276.007812 1713688784.6462
MEM 277.554688 1713688784.7464
MEM 278.843750 1713688784.8467
MEM 279.617188 1713688784.9469
MEM 280.390625 1713688785.0472
MEM 280.906250 1713688785.1474
MEM 282.453125 1713688785.2476
MEM 282.968750 1713688785.3478
MEM 284.257812 1713688785.4480
MEM 285.804688 1713688785.5483
MEM 286.578125 1713688785.6485
MEM 287.867188 1713688785.7487
MEM 289.414062 1713688785.8489
MEM 289.929688 1713688785.9491
MEM 291.218750 1713688786.0494
MEM 292.765625 1713688786.1496
MEM 293.281250 1713688786.2498
MEM 294.828125 1713688786.3500
MEM 296.117188 1713688786.4502
MEM 296.890625 1713688786.5505
MEM 298.179688 1713688786.6507
MEM 299.726562 1713688786.7509
MEM 300.242188 1713688786.8511
MEM 301.531250 1713688786.9513
MEM 303.078125 1713688787.0515
MEM 303.851562 1713688787.1517
MEM 305.140625 1713688787.2520
MEM 316.585938 1713688787.3522
MEM 317.101562 1713688787.4524
MEM 318.648438 1713688787.5526
MEM 319.937500 1713688787.6528
MEM 320.710938 1713688787.7530
MEM 322.000000 1713688787.8533
MEM 323.804688 1713688787.9535
MEM 324.320312 1713688788.0537
MEM 325.609375 1713688788.1539
MEM 327.156250 1713688788.2541
MEM 327.929688 1713688788.3543
MEM 329.218750 1713688788.4545
MEM 330.765625 1713688788.5548
MEM 331.539062 1713688788.6550
MEM 332.828125 1713688788.7552
MEM 332.828125 1713688788.8561
MEM 334.117188 1713688788.9563
MEM 334.632812 1713688789.0565
MEM 335.921875 1713688789.1567
MEM 337.468750 1713688789.2570
MEM 338.242188 1713688789.3572
MEM 339.531250 1713688789.4574
MEM 341.078125 1713688789.5576
MEM 341.593750 1713688789.6578
MEM 343.140625 1713688789.7580
MEM 344.429688 1713688789.8583
MEM 345.203125 1713688789.9585
MEM 346.492188 1713688790.0587
MEM 348.039062 1713688790.1589
MEM 349.070312 1713688790.2591
MEM 350.101562 1713688790.3593
MEM 351.390625 1713688790.4595
MEM 352.937500 1713688790.5597
MEM 353.710938 1713688790.6599
MEM 355.000000 1713688790.7601
MEM 356.546875 1713688790.8603
MEM 357.062500 1713688790.9605
MEM 358.609375 1713688791.0607
MEM 359.898438 1713688791.1609
MEM 360.671875 1713688791.2611
MEM 361.960938 1713688791.3614
MEM 364.023438 1713688791.4616
MEM 364.539062 1713688791.5618
MEM 366.085938 1713688791.6620
MEM 367.375000 1713688791.7622
MEM 368.148438 1713688791.8624
MEM 369.437500 1713688791.9626
MEM 370.984375 1713688792.0628
MEM 371.757812 1713688792.1630
MEM 373.046875 1713688792.2632
MEM 374.335938 1713688792.3634
MEM 375.367188 1713688792.4636
MEM 376.398438 1713688792.5638
MEM 377.945312 1713688792.6640
MEM 378.976562 1713688792.7642
MEM 380.007812 1713688792.8644
MEM 381.296875 1713688792.9646
MEM 382.843750 1713688793.0648
MEM 383.359375 1713688793.1650
MEM 384.906250 1713688793.2652
MEM 385.679688 1713688793.3654
MEM 385.679688 1713688793.4656
MEM 386.453125 1713688793.5658
MEM 387.742188 1713688793.6660
MEM 388.515625 1713688793.7662
MEM 390.062500 1713688793.8664
MEM 391.351562 1713688793.9667
MEM 392.125000 1713688794.0669
MEM 393.414062 1713688794.1671
MEM 394.960938 1713688794.2673
MEM 395.734375 1713688794.3675
MEM 397.023438 1713688794.4677
MEM 398.312500 1713688794.5679
MEM 399.343750 1713688794.6681
MEM 400.375000 1713688794.7683
MEM 401.921875 1713688794.8686
MEM 402.953125 1713688794.9688
MEM 403.984375 1713688795.0690
MEM 405.531250 1713688795.1692
MEM 406.820312 1713688795.2694
MEM 407.593750 1713688795.3696
MEM 408.882812 1713688795.4698
MEM 410.429688 1713688795.5700
MEM 411.203125 1713688795.6703
MEM 412.492188 1713688795.7705
MEM 414.039062 1713688795.8707
MEM 414.812500 1713688795.9710
MEM 415.843750 1713688796.0712
MEM 417.390625 1713688796.1714
MEM 418.679688 1713688796.2716
MEM 419.453125 1713688796.3718
MEM 421.000000 1713688796.4721
MEM 422.546875 1713688796.5723
MEM 423.062500 1713688796.6725
MEM 424.351562 1713688796.7727
MEM 425.898438 1713688796.8729
MEM 427.445312 1713688796.9731
MEM 428.476562 1713688797.0734
MEM 429.507812 1713688797.1736
MEM 430.796875 1713688797.2738
MEM 432.085938 1713688797.3740
MEM 432.859375 1713688797.4742
MEM 434.406250 1713688797.5744
MEM 435.953125 1713688797.6746
MEM 436.468750 1713688797.7748
MEM 438.015625 1713688797.8751
MEM 439.304688 1713688797.9753
MEM 440.078125 1713688798.0755
MEM 441.367188 1713688798.1757
MEM 442.914062 1713688798.2759
MEM 443.687500 1713688798.3762
MEM 444.976562 1713688798.4764
MEM 446.265625 1713688798.5766
MEM 447.296875 1713688798.6768
MEM 448.328125 1713688798.7770
MEM 450.132812 1713688798.8773
MEM 451.679688 1713688798.9774
MEM 452.710938 1713688799.0777
MEM 452.710938 1713688799.1779
MEM 452.710938 1713688799.2781
MEM 454.000000 1713688799.3783
MEM 455.546875 1713688799.4785
MEM 457.093750 1713688799.5787
MEM 458.640625 1713688799.6789
MEM 459.929688 1713688799.7791
MEM 460.960938 1713688799.8793
MEM 482.171875 1713688799.9795
MEM 483.714844 1713688800.0797
MEM 485.003906 1713688800.1799
MEM 486.035156 1713688800.2801
MEM 487.582031 1713688800.3803
MEM 489.128906 1713688800.4805
MEM 490.675781 1713688800.5807
MEM 491.964844 1713688800.6809
MEM 492.996094 1713688800.7812
MEM 494.542969 1713688800.8814
MEM 496.089844 1713688800.9816
MEM 497.894531 1713688801.0818
MEM 498.925781 1713688801.1820
MEM 500.214844 1713688801.2823
MEM 501.503906 1713688801.3825
MEM 503.050781 1713688801.4827
MEM 504.597656 1713688801.5829
MEM 506.144531 1713688801.6831
MEM 507.175781 1713688801.7833
MEM 508.464844 1713688801.8835
MEM 510.011719 1713688801.9837
MEM 511.558594 1713688802.0839
MEM 513.105469 1713688802.1841
MEM 514.136719 1713688802.2844
MEM 515.683594 1713688802.3846
MEM 517.230469 1713688802.4848
MEM 518.777344 1713688802.5850
MEM 520.066406 1713688802.6852
MEM 521.097656 1713688802.7854
MEM 522.644531 1713688802.8856
MEM 524.191406 1713688802.9858
MEM 525.738281 1713688803.0860
MEM 527.027344 1713688803.1862
MEM 528.058594 1713688803.2864
MEM 529.347656 1713688803.3866
MEM 530.894531 1713688803.4868
MEM 532.441406 1713688803.5870
MEM 533.472656 1713688803.6872
