CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 5.179688 1713692210.8044
MEM 51.234375 1713692210.9046
MEM 73.730469 1713692211.0048
MEM 87.472656 1713692211.1050
MEM 101.156250 1713692211.2052
MEM 119.863281 1713692211.3054
MEM 141.375000 1713692211.4056
MEM 149.054688 1713692211.5058
MEM 149.828125 1713692211.6060
MEM 150.859375 1713692211.7062
MEM 151.890625 1713692211.8064
MEM 152.902344 1713692211.9066
MEM 152.902344 1713692212.0068
MEM 153.160156 1713692212.1070
MEM 153.417969 1713692212.2072
MEM 153.777344 1713692212.3074
MEM 155.839844 1713692212.4076
MEM 156.355469 1713692212.5078
MEM 157.644531 1713692212.6080
MEM 160.222656 1713692212.7082
MEM 160.738281 1713692212.8084
MEM 162.027344 1713692212.9086
MEM 163.058594 1713692213.0088
MEM 163.832031 1713692213.1090
MEM 165.121094 1713692213.2092
MEM 165.894531 1713692213.3094
MEM 166.925781 1713692213.4096
MEM 169.332031 1713692213.5099
MEM 170.101562 1713692213.6101
MEM 171.132812 1713692213.7103
MEM 172.164062 1713692213.8105
MEM 173.195312 1713692213.9107
MEM 174.484375 1713692214.0109
MEM 175.257812 1713692214.1111
MEM 176.289062 1713692214.2113
MEM 177.578125 1713692214.3115
MEM 178.093750 1713692214.4117
MEM 179.382812 1713692214.5119
MEM 180.414062 1713692214.6120
MEM 181.187500 1713692214.7122
MEM 182.476562 1713692214.8124
MEM 183.250000 1713692214.9126
MEM 184.281250 1713692215.0128
MEM 185.570312 1713692215.1130
MEM 188.953125 1713692215.2132
MEM 189.984375 1713692215.3134
MEM 191.273438 1713692215.4136
MEM 191.789062 1713692215.5138
MEM 193.078125 1713692215.6140
MEM 194.109375 1713692215.7142
MEM 194.625000 1713692215.8144
MEM 195.656250 1713692215.9151
MEM 196.429688 1713692216.0153
MEM 197.718750 1713692216.1155
MEM 198.492188 1713692216.2157
MEM 199.523438 1713692216.3159
MEM 200.812500 1713692216.4161
MEM 201.585938 1713692216.5163
MEM 202.617188 1713692216.6165
MEM 203.648438 1713692216.7167
MEM 204.421875 1713692216.8169
MEM 205.710938 1713692216.9172
MEM 206.484375 1713692217.0174
MEM 207.515625 1713692217.1176
MEM 208.804688 1713692217.2178
MEM 209.578125 1713692217.3181
MEM 210.609375 1713692217.4182
MEM 211.640625 1713692217.5184
MEM 212.671875 1713692217.6186
MEM 213.703125 1713692217.7189
MEM 214.476562 1713692217.8191
MEM 215.765625 1713692217.9193
MEM 216.796875 1713692218.0195
MEM 217.570312 1713692218.1197
MEM 218.859375 1713692218.2199
MEM 219.890625 1713692218.3201
MEM 220.664062 1713692218.4203
MEM 221.953125 1713692218.5205
MEM 227.714844 1713692218.6207
MEM 228.746094 1713692218.7209
MEM 230.035156 1713692218.8211
MEM 230.550781 1713692218.9213
MEM 231.839844 1713692219.0215
MEM 232.871094 1713692219.1217
MEM 233.644531 1713692219.2219
MEM 234.933594 1713692219.3221
MEM 235.191406 1713692219.4223
MEM 236.222656 1713692219.5225
MEM 236.996094 1713692219.6227
MEM 238.285156 1713692219.7229
MEM 238.800781 1713692219.8266
MEM 239.574219 1713692219.9269
MEM 240.089844 1713692220.0271
MEM 241.378906 1713692220.1274
MEM 241.894531 1713692220.2276
MEM 243.183594 1713692220.3278
MEM 244.214844 1713692220.4280
MEM 244.988281 1713692220.5282
MEM 246.277344 1713692220.6284
MEM 247.050781 1713692220.7286
MEM 248.082031 1713692220.8288
MEM 249.371094 1713692220.9290
MEM 250.144531 1713692221.0292
MEM 251.175781 1713692221.1294
MEM 252.207031 1713692221.2296
MEM 252.980469 1713692221.3298
MEM 254.269531 1713692221.4300
MEM 255.042969 1713692221.5302
MEM 256.074219 1713692221.6304
MEM 257.363281 1713692221.7306
MEM 258.136719 1713692221.8308
MEM 259.167969 1713692221.9310
MEM 260.457031 1713692222.0312
MEM 261.230469 1713692222.1314
MEM 262.777344 1713692222.2316
MEM 263.550781 1713692222.3318
MEM 264.839844 1713692222.4320
MEM 265.613281 1713692222.5322
MEM 266.644531 1713692222.6325
MEM 267.933594 1713692222.7327
MEM 268.449219 1713692222.8330
MEM 269.738281 1713692222.9332
MEM 270.511719 1713692223.0334
MEM 271.027344 1713692223.1337
MEM 271.542969 1713692223.2339
MEM 272.832031 1713692223.3340
MEM 273.605469 1713692223.4342
MEM 274.636719 1713692223.5344
MEM 275.667969 1713692223.6346
MEM 276.441406 1713692223.7348
MEM 277.730469 1713692223.8350
MEM 278.503906 1713692223.9352
MEM 279.535156 1713692224.0354
MEM 280.824219 1713692224.1357
MEM 281.597656 1713692224.2359
MEM 282.628906 1713692224.3361
MEM 283.660156 1713692224.4363
MEM 284.433594 1713692224.5365
MEM 285.722656 1713692224.6367
MEM 286.496094 1713692224.7369
MEM 287.527344 1713692224.8371
MEM 288.816406 1713692224.9373
MEM 289.332031 1713692225.0375
MEM 290.621094 1713692225.1377
MEM 291.652344 1713692225.2379
MEM 292.425781 1713692225.3380
MEM 293.714844 1713692225.4382
MEM 294.488281 1713692225.5384
MEM 305.503906 1713692225.6386
MEM 306.792969 1713692225.7388
MEM 307.308594 1713692225.8390
MEM 308.597656 1713692225.9392
MEM 309.628906 1713692226.0394
MEM 310.402344 1713692226.1420
MEM 311.691406 1713692226.2422
MEM 312.464844 1713692226.3424
MEM 313.496094 1713692226.4426
MEM 314.527344 1713692226.5428
MEM 315.300781 1713692226.6429
MEM 316.589844 1713692226.7431
MEM 317.363281 1713692226.8433
MEM 318.394531 1713692226.9435
MEM 319.683594 1713692227.0437
MEM 320.199219 1713692227.1439
MEM 320.199219 1713692227.2441
MEM 321.488281 1713692227.3443
MEM 322.003906 1713692227.4445
MEM 323.292969 1713692227.5447
MEM 324.324219 1713692227.6449
MEM 325.097656 1713692227.7451
MEM 326.386719 1713692227.8453
MEM 327.160156 1713692227.9455
MEM 328.191406 1713692228.0457
MEM 329.480469 1713692228.1459
MEM 329.996094 1713692228.2461
MEM 331.285156 1713692228.3463
MEM 332.316406 1713692228.4465
MEM 333.089844 1713692228.5467
MEM 334.378906 1713692228.6469
MEM 335.152344 1713692228.7471
MEM 336.183594 1713692228.8473
MEM 337.472656 1713692228.9475
MEM 337.988281 1713692229.0477
MEM 339.277344 1713692229.1479
MEM 340.308594 1713692229.2481
MEM 341.082031 1713692229.3483
MEM 342.371094 1713692229.4486
MEM 343.144531 1713692229.5488
MEM 344.175781 1713692229.6490
MEM 345.464844 1713692229.7492
MEM 345.980469 1713692229.8494
MEM 347.269531 1713692229.9496
MEM 348.300781 1713692230.0498
