CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 6.734375 1713688706.1086
MEM 52.214844 1713688706.2088
MEM 75.250000 1713688706.3090
MEM 95.496094 1713688706.4092
MEM 106.066406 1713688706.5095
MEM 129.214844 1713688706.6097
MEM 145.648438 1713688706.7099
MEM 148.992188 1713688706.8101
MEM 148.992188 1713688706.9104
MEM 149.160156 1713688707.0106
MEM 149.160156 1713688707.1108
MEM 149.160156 1713688707.2110
MEM 149.160156 1713688707.3112
MEM 149.160156 1713688707.4115
MEM 149.160156 1713688707.5117
MEM 149.160156 1713688707.6120
MEM 149.160156 1713688707.7122
MEM 149.160156 1713688707.8125
MEM 149.160156 1713688707.9127
MEM 149.160156 1713688708.0129
MEM 149.160156 1713688708.1131
MEM 149.160156 1713688708.2133
MEM 149.160156 1713688708.3136
MEM 149.160156 1713688708.4138
MEM 149.160156 1713688708.5140
MEM 149.160156 1713688708.6143
MEM 149.160156 1713688708.7145
MEM 149.160156 1713688708.8147
MEM 149.160156 1713688708.9149
MEM 149.160156 1713688709.0151
MEM 149.160156 1713688709.1154
MEM 149.160156 1713688709.2156
MEM 149.160156 1713688709.3158
MEM 149.160156 1713688709.4160
MEM 149.160156 1713688709.5163
MEM 149.160156 1713688709.6165
MEM 149.160156 1713688709.7167
MEM 149.160156 1713688709.8169
MEM 149.160156 1713688709.9172
MEM 149.160156 1713688710.0174
MEM 149.160156 1713688710.1176
MEM 149.160156 1713688710.2178
MEM 149.160156 1713688710.3181
MEM 149.160156 1713688710.4183
MEM 149.160156 1713688710.5185
MEM 149.160156 1713688710.6187
MEM 149.160156 1713688710.7189
MEM 149.160156 1713688710.8191
MEM 149.160156 1713688710.9193
MEM 149.160156 1713688711.0195
MEM 149.160156 1713688711.1197
MEM 149.160156 1713688711.2200
MEM 149.160156 1713688711.3202
MEM 149.160156 1713688711.4204
MEM 149.160156 1713688711.5206
MEM 149.160156 1713688711.6208
MEM 149.160156 1713688711.7210
MEM 149.160156 1713688711.8212
MEM 149.160156 1713688711.9214
MEM 149.160156 1713688712.0216
MEM 149.160156 1713688712.1218
MEM 149.160156 1713688712.2220
MEM 149.160156 1713688712.3222
MEM 149.160156 1713688712.4224
MEM 149.160156 1713688712.5227
MEM 149.160156 1713688712.6229
MEM 149.160156 1713688712.7231
MEM 149.160156 1713688712.8234
MEM 149.160156 1713688712.9236
MEM 149.160156 1713688713.0238
MEM 149.160156 1713688713.1240
MEM 149.160156 1713688713.2242
MEM 149.160156 1713688713.3244
MEM 149.160156 1713688713.4247
MEM 149.160156 1713688713.5248
MEM 149.160156 1713688713.6250
MEM 149.160156 1713688713.7252
MEM 149.160156 1713688713.8254
MEM 149.160156 1713688713.9257
MEM 149.160156 1713688714.0259
MEM 149.160156 1713688714.1261
MEM 149.160156 1713688714.2263
MEM 149.160156 1713688714.3265
MEM 149.160156 1713688714.4267
MEM 149.160156 1713688714.5269
MEM 149.160156 1713688714.6271
MEM 149.160156 1713688714.7273
MEM 149.160156 1713688714.8275
MEM 149.160156 1713688714.9277
MEM 149.160156 1713688715.0280
MEM 149.160156 1713688715.1282
MEM 149.160156 1713688715.2284
MEM 149.160156 1713688715.3286
MEM 149.160156 1713688715.4288
MEM 149.160156 1713688715.5290
MEM 149.160156 1713688715.6292
MEM 149.160156 1713688715.7293
MEM 149.160156 1713688715.8295
MEM 149.160156 1713688715.9297
MEM 149.160156 1713688716.0300
MEM 149.160156 1713688716.1302
MEM 149.160156 1713688716.2304
MEM 149.160156 1713688716.3306
MEM 149.160156 1713688716.4308
MEM 149.160156 1713688716.5310
MEM 149.160156 1713688716.6312
MEM 149.160156 1713688716.7314
MEM 149.160156 1713688716.8316
MEM 149.160156 1713688716.9318
MEM 149.160156 1713688717.0320
MEM 149.160156 1713688717.1322
MEM 149.160156 1713688717.2324
MEM 149.160156 1713688717.3326
MEM 149.160156 1713688717.4328
MEM 149.160156 1713688717.5330
MEM 149.160156 1713688717.6333
MEM 149.160156 1713688717.7335
MEM 149.160156 1713688717.8337
MEM 149.160156 1713688717.9339
MEM 149.160156 1713688718.0341
MEM 149.160156 1713688718.1344
MEM 149.160156 1713688718.2346
MEM 149.160156 1713688718.3348
MEM 149.160156 1713688718.4350
MEM 149.160156 1713688718.5352
MEM 149.160156 1713688718.6354
MEM 149.160156 1713688718.7357
MEM 149.160156 1713688718.8359
MEM 149.160156 1713688718.9361
MEM 149.160156 1713688719.0363
MEM 149.160156 1713688719.1365
MEM 149.160156 1713688719.2367
MEM 149.160156 1713688719.3369
MEM 149.160156 1713688719.4372
MEM 149.160156 1713688719.5374
MEM 149.160156 1713688719.6377
MEM 149.160156 1713688719.7379
MEM 149.160156 1713688719.8381
MEM 149.160156 1713688719.9383
MEM 149.160156 1713688720.0386
MEM 149.160156 1713688720.1388
MEM 149.160156 1713688720.2390
MEM 149.160156 1713688720.3392
MEM 149.160156 1713688720.4394
MEM 149.160156 1713688720.5396
MEM 149.160156 1713688720.6398
MEM 149.160156 1713688720.7400
MEM 149.160156 1713688720.8402
MEM 149.160156 1713688720.9404
MEM 149.160156 1713688721.0406
MEM 149.160156 1713688721.1408
MEM 149.160156 1713688721.2411
MEM 149.160156 1713688721.3413
MEM 149.160156 1713688721.4415
MEM 149.160156 1713688721.5417
MEM 149.160156 1713688721.6419
MEM 149.160156 1713688721.7421
MEM 149.160156 1713688721.8423
MEM 149.160156 1713688721.9425
MEM 149.160156 1713688722.0427
MEM 149.160156 1713688722.1429
MEM 149.160156 1713688722.2431
MEM 149.160156 1713688722.3433
MEM 149.160156 1713688722.4436
MEM 149.160156 1713688722.5438
MEM 149.160156 1713688722.6440
MEM 149.160156 1713688722.7442
MEM 149.160156 1713688722.8444
MEM 149.160156 1713688722.9446
MEM 149.160156 1713688723.0448
MEM 149.160156 1713688723.1451
MEM 149.160156 1713688723.2453
MEM 149.160156 1713688723.3455
MEM 149.160156 1713688723.4457
MEM 149.160156 1713688723.5459
MEM 149.160156 1713688723.6460
MEM 149.160156 1713688723.7463
MEM 149.160156 1713688723.8465
MEM 149.160156 1713688723.9467
MEM 149.160156 1713688724.0469
MEM 149.160156 1713688724.1471
MEM 149.160156 1713688724.2473
MEM 149.160156 1713688724.3475
MEM 149.160156 1713688724.4477
MEM 149.160156 1713688724.5479
MEM 149.160156 1713688724.6481
MEM 149.160156 1713688724.7483
MEM 149.160156 1713688724.8486
MEM 149.160156 1713688724.9488
MEM 149.160156 1713688725.0490
MEM 149.160156 1713688725.1492
MEM 149.160156 1713688725.2494
MEM 149.160156 1713688725.3496
MEM 149.160156 1713688725.4498
MEM 149.160156 1713688725.5501
MEM 149.160156 1713688725.6503
MEM 149.160156 1713688725.7505
MEM 149.160156 1713688725.8507
MEM 149.160156 1713688725.9509
MEM 149.160156 1713688726.0512
MEM 149.160156 1713688726.1514
MEM 149.160156 1713688726.2516
